Probe,X.slope_lin,Y.slope_lin,Z.slope_lin,X.slope_lin_err,Y.slope_lin_err,Z.slope_lin_err,X.slope_curve,Y.slope_curve,Z.slope_curve,X.slope_curve_err,Y.slope_curve_err,Z.slope_curve_err
1,0.2937166062836649,0.37639871694869625,0.03867876736430574,0.15186456497737957,0.09857122694376334,0.28205948898900773,0.29742044841393805,0.3649883323112778,0.012384290754612448,0.018150728038363026,0.014584358182036945,0.026310122690801293
2,-0.11839605908183666,0.7248276351904072,0.25808627012332785,0.09445176916230248,0.11927153045123898,0.20766498509114853,-0.1093293252304457,0.7334581455233398,0.23233994705364003,0.01772715070761727,0.013753968453011871,0.027311959617014332
3,-0.4611118302019145,0.27042152013867243,0.07387972151219832,0.1181687690814022,0.3228494893013414,0.19151528060149436,-0.4578296389230907,0.2577819820884486,0.045267127231379156,0.01925813883811419,0.011445789292669947,0.027965141532680524
4,-0.3261836926612957,0.09948617127166419,-0.11851544011509975,0.13516080864779492,0.19082799963676272,0.2900238786890992,-0.3329732238995634,0.09991229114222148,-0.17513600433090315,0.01678303436250181,0.014521199474715406,0.0283180127699663
5,-0.12134806850396566,0.4532790873753532,-0.3427969979564586,0.21155036366329913,0.1589510558604574,0.09920527030410307,-0.11164765131630938,0.44808768398561416,-0.3392523775562128,0.023269320731401085,0.01649553320703432,0.02569336065216458
6,-0.488612529305446,0.7628201332599567,0.266399836793964,0.19489774216338626,0.1280615130603565,0.22781426222023113,-0.48514426706940184,0.7550694513423383,0.2583833320624276,0.024006560130711722,0.022714730583907307,0.02874702604686973
7,-0.947411698672142,-1.2382591440894593,-0.3066421917636319,0.20001522485632664,0.30322699630673144,0.16987817135378916,-0.9512167131980521,-1.2369072743264418,-0.30475453181755974,0.025128032842569176,0.023997284100387643,0.028055631851616195
8,-0.1810221625481249,0.5544886278638108,-0.4096127747236532,0.1527877920522497,0.1178108918665472,0.24649641987776635,-0.17522272027987773,0.5462398035720292,-0.4162881297208558,0.017669752140443543,0.018326492143728744,0.030756459573064998
9,0.028511731736547637,-0.2956156758872959,-0.30862349351459234,0.17685182259881144,0.1044028865589665,0.13846986686290308,0.03451238276122226,-0.28845441243899983,-0.3064810486234344,0.0161222766261508,0.012884644057072712,0.025740089338657457
10,0.011760326480046154,-0.2694256689188577,-0.28064999435902444,0.19074558638041825,0.11895331294412556,0.15685766107542698,0.016457485752679357,-0.2605117266319581,-0.2789093775995231,0.02393595097113851,0.017169889245291312,0.016827859215575874
11,0.029310022003062496,-0.2691547960999616,-0.292863697261985,0.17817538974108535,0.1161704642480017,0.15679832055030102,0.03450075636514904,-0.2616846092214562,-0.2891116672818319,0.016202104718993294,0.013224487218681101,0.026010744986655218
12,2.8748010432189592,-2.2717098715603594,7.818207347987814,2.850365684693591,3.671502618109911,13.025386056145578,3.0675642757808035,-2.1165406058918075,6.906934128596635,0.10715299308491627,0.11603197149081061,0.09330019133568125
