Probe,X_bool_sig,X_sig_level,Y_bool_sig,Y_sig_level,Z_bool_sig,Z_sig_level,X_int_bool,Y_int_bool,Z_int_bool
1,False,0.0,False,0.0,False,0.0,True,False,True
2,False,0.0,True,2.87,True,3.17,False,False,False
3,False,0.0,False,0.0,False,0.0,True,True,True
4,False,0.0,False,0.0,False,0.0,True,False,False
5,True,2.13,False,0.0,False,0.0,False,True,True
6,False,0.0,False,0.0,True,2.58,True,True,False
7,False,0.0,True,6.01,False,0.0,True,True,False
8,False,0.0,False,0.0,False,0.0,False,False,False
9,False,0.0,False,0.0,False,0.0,True,True,False
10,False,0.0,False,0.0,False,0.0,False,True,False
11,False,0.0,False,0.0,False,0.0,True,True,False
12,True,101.76,True,59.42,True,70.03,True,True,True
