Probe,X_bool_sig,X_sig_level,Y_bool_sig,Y_sig_level,Z_bool_sig,Z_sig_level,X_int_bool,Y_int_bool,Z_int_bool
1,False,0.0,False,0.0,False,0.0,False,False,False
2,True,2.92,False,0.0,False,0.0,False,True,False
3,False,0.0,False,0.0,False,0.0,False,True,False
4,False,0.0,False,0.0,False,0.0,True,True,True
5,False,0.0,False,0.0,False,0.0,True,True,False
6,False,0.0,True,2.3,True,2.06,True,True,False
7,False,0.0,False,0.0,False,0.0,True,True,False
8,False,0.0,False,0.0,False,0.0,True,False,True
9,False,0.0,False,0.0,False,0.0,False,False,False
10,False,0.0,False,0.0,True,2.26,False,False,False
11,False,0.0,False,0.0,False,0.0,False,False,False
12,True,95.02,True,35.25,True,57.08,True,True,True
