Probe,X_bool_sig,X_sig_level,Y_bool_sig,Y_sig_level,Z_bool_sig,Z_sig_level,X_int_bool,Y_int_bool,Z_int_bool
1,True,3.49,True,3.91,False,0.0,True,False,False
2,False,0.0,False,0.0,False,0.0,False,True,False
3,False,0.0,True,2.2,False,0.0,False,True,False
4,False,0.0,False,0.0,False,0.0,False,True,True
5,False,0.0,True,3.1,True,2.4,False,True,True
6,True,2.1,True,2.63,True,3.84,True,False,False
7,True,2.27,True,5.96,False,0.0,False,False,False
8,True,2.53,False,0.0,False,0.0,True,True,False
9,False,0.0,False,0.0,False,0.0,False,True,False
10,False,0.0,True,4.38,True,5.95,False,True,False
11,False,0.0,False,0.0,False,0.0,False,False,False
12,True,101.51,True,60.48,True,73.16,True,True,True
