Probe,X_bool_sig,X_sig_level,Y_bool_sig,Y_sig_level,Z_bool_sig,Z_sig_level,X_int_bool,Y_int_bool,Z_int_bool
1,True,2.28,True,2.87,False,0.0,True,True,True
2,False,0.0,True,5.63,False,0.0,True,True,True
3,True,3.76,False,0.0,False,0.0,True,True,True
4,True,2.43,False,0.0,False,0.0,True,False,True
5,False,0.0,True,3.57,True,2.79,True,False,False
6,True,4.1,True,5.82,True,2.01,True,True,True
7,True,7.24,True,9.49,True,2.71,True,False,False
8,False,0.0,True,4.32,True,3.07,True,False,False
9,False,0.0,True,2.46,True,2.32,False,True,False
10,False,0.0,True,2.25,True,2.06,False,True,False
11,False,0.0,True,2.24,True,2.17,False,True,False
12,True,25.79,True,22.32,True,72.84,True,False,True
