Probe,X_bool_sig,X_sig_level,Y_bool_sig,Y_sig_level,Z_bool_sig,Z_sig_level,X_int_bool,Y_int_bool,Z_int_bool
1,False,0.0,True,2.83,False,0.0,True,True,False
2,False,0.0,False,0.0,True,2.59,False,True,True
3,False,0.0,True,4.46,False,0.0,False,True,True
4,False,0.0,False,0.0,True,3.85,True,True,False
5,False,0.0,True,2.74,False,0.0,False,False,False
6,False,0.0,False,0.0,True,3.51,False,False,True
7,False,0.0,False,0.0,False,0.0,False,True,False
8,False,0.0,False,0.0,False,0.0,True,False,True
9,False,0.0,True,2.02,False,0.0,False,False,False
10,False,0.0,True,5.76,False,0.0,False,False,False
11,False,0.0,False,0.0,False,0.0,False,False,False
12,True,61.69,True,47.32,True,47.26,True,True,True
