Probe,X.slope_cur,Y.slope_cur,Z.slope_cur,X.slope_cur_err,Y.slope_cur_err,Z.slope_cur_err,X_zero_int,Y_zero_int,Z_zero_int,X_zero_int_err,Y_zero_int_err,Z_zero_int_err
1,0.03885799070946736,0.002433410083635068,0.10253611446037758,0.10299078301170142,0.10299079396866558,0.1029907789831575,-0.04385276838394682,-0.057883495093749016,0.05694079748725844,0.028867840010912853,0.02886783987928891,0.028867839762888533
2,0.21075580791015913,0.11531854873770664,0.00039001714704489654,0.10299078085313094,0.10299078082978975,0.1029907207254391,-0.033474138095021866,-0.02156465648263306,0.05218465690972529,0.028867840013444387,0.02886784004230229,0.028867840358178295
3,0.058576266780455466,-0.05256153529597096,0.4277733626795184,0.10299077975484727,0.10299078172715163,0.10299078094110087,-0.021007236435692134,-0.0067164729981923355,0.04075814052542637,0.0288678408813502,0.02886783994634376,0.028867840169187132
4,0.011449041622882628,-0.16130401712789721,-0.011686454331848006,0.10299078211464979,0.10299077984288982,0.10299079049222923,-0.042235314785284306,0.010074767492822212,0.06349193145724685,0.028867840055299437,0.028867837753110998,0.028867840339216237
5,0.05784705461043249,-0.2113675958090009,-0.14363659111730162,0.1029907792289184,0.10299078124065207,0.10299078119794865,-0.0057851561464510315,0.00509512241522237,0.13116478983030794,0.02886783903866368,0.028867837264726453,0.028867840118345086
6,0.24822469646777612,0.08136565656088302,-0.042849954445702006,0.10299078100807293,0.10299078266070019,0.10299078344989968,-0.006765241363213992,0.00856858809198835,0.08374211137356534,0.02886783887786611,0.02886783883749526,0.028867840082360388
7,-0.22414794765799373,-0.751596776980069,0.18070161062219578,0.10299078092457441,0.10299078096965526,0.10299078118002483,-0.09077880169566166,0.029959646642757125,0.10638167500289884,0.02886784004587408,0.02886783989855104,0.02886783993090302
8,0.19013074500915117,-0.16336837960251446,-0.24098885601147174,0.10299078156494759,0.10299078113354526,0.10299078107699104,-0.027038012304072545,-0.024469118546911358,0.027374172028804294,0.02886784035154806,0.028867840539553432,0.02886784016989364
9,0.09789234460414996,0.034124515577672064,-0.01180734536995609,0.10299078062680592,0.10299078046148444,0.10299078068420135,-0.04910690529500872,0.0059023388090209275,0.032039965966093154,0.028867840068681164,0.028867839542366887,0.028867839907570185
10,0.13370824621487717,0.07703702747993657,-0.02243394357935672,0.10299078129236897,0.10299078128077292,0.10299077977587512,-0.05313172883575696,-0.002867588638892471,0.03565601124542632,0.028867839918975156,0.02886783778510758,0.028867840131929678
11,0.10698661866243593,0.015365339657011146,-0.008472529096274828,0.10299078181801329,0.10299078177547771,0.10299078301293114,-0.0518802127253648,0.0021835487930045305,0.029985483485937103,0.028867840029147475,0.028867842868418692,0.028867840210040914
12,-10.976484106680893,5.944138727682816,-12.246222115069964,0.10299078171545992,0.10299078088173091,0.10299078156003444,0.04885747192090406,0.18605439613690813,-0.42837776891574003,0.028867845694738235,0.02886784062833515,0.028867840161241113
