Probe,X.slope_cur,Y.slope_cur,Z.slope_cur,X.slope_cur_err,Y.slope_cur_err,Z.slope_cur_err,X_zero_int,Y_zero_int,Z_zero_int,X_zero_int_err,Y_zero_int_err,Z_zero_int_err
1,-0.15870419223436305,-0.13991280406672982,-0.08380280113517102,0.29829356133319884,0.29829357540209933,0.29829356897557285,9.920773073712752e-06,-0.029661662448272744,-0.0032859110082361642,0.03779764490471132,0.037797623905058066,0.03779762769153206
2,0.23273494404675443,-0.02966288167072162,-0.5684356370415975,0.2982935672977046,0.2982935781467011,0.2982935690007853,-0.04433096847420637,-0.008675473121453559,-0.09568204838421157,0.0377976248968116,0.03779762496516862,0.037797624225064
3,0.47460939814015696,-0.24368374356461187,-0.06068436157135504,0.29829357105550625,0.2982935742702514,0.29829357547583635,0.05466400059345614,0.1302971193733602,-0.020078443708043014,0.03779762482324384,0.037797624763858534,0.03779762430533863
4,0.18096802876568185,-0.8905772193350465,-0.3691511006278616,0.298293569936267,0.29829356997737844,0.29829356900292314,0.03273068561082171,0.00970969698597568,-0.0364702212961896,0.03779762493575523,0.037797623056280205,0.03779762435363262
5,-0.06572559754536256,-0.46499946863218683,-0.28547013378911723,0.2982935645587738,0.2982935707532857,0.2982935737854858,-0.04894660095839831,0.0718893211357455,-0.08940834314698742,0.037797624218367465,0.03779762482630166,0.03779762475229449
6,-0.19354995661395435,0.076307168787771,0.44409860910406856,0.298293572323973,0.2982935706051962,0.29829356994419587,0.04244161833797014,-0.0022423140861786983,-0.0644928033368467,0.03779762394789269,0.03779761919104099,0.037797624323468754
7,-0.5977872956600077,-0.25606458000982474,-0.21888295857359197,0.2982935694033099,0.29829357922162236,0.29829356640194055,0.05609234151523801,0.04652141140777671,-0.019478148074949065,0.037797625048409916,0.03779762392446328,0.03779762428151211
8,-0.4892398662522277,-0.16951245310580876,-0.13532806014582444,0.29829357211174307,0.29829358057331234,0.29829356919661254,-0.02663116609403482,0.038522192838007396,0.045572810037050715,0.03779762447633042,0.037797624218456026,0.03779762432482605
9,0.09607257542798295,-0.2060091093801426,-0.42889479707350775,0.29829357152421837,0.29829357632455245,0.2982935727584902,0.02066516195956609,0.012070862991357623,-0.0029064700853134173,0.037797624312029286,0.03779762432055396,0.03779762404987928
10,0.057577917583905326,-0.1817934411137533,-0.6758595804307979,0.2982935720442752,0.2982935704687673,0.29829357323144273,0.026123744694266225,0.015571332298507991,0.0192646048391919,0.03779762442002503,0.037797624168884596,0.03779762299742935
11,0.0739723996250728,-0.2755368656226859,-0.4623805535127625,0.2982935689794395,0.29829357393288414,0.29829356938527657,0.02209282271997474,0.01756657833642756,-0.0019512665144225672,0.03779762459987584,0.0377976248113535,0.03779762252123043
12,-12.741581872600968,8.110102762951575,-7.944770831679564,0.29829356692575376,0.2982935706976426,0.29829356959234954,1.0695785900997783,0.08558084091065704,-1.0010097982060804,0.03779762416657373,0.03779761941476404,0.03779762418615369
