,Probe,X_bool_sig,Y_bool_sig,Z_bool_sig,X_int_bool,Y_int_bool,Z_int_bool
0,1,True,True,True,True,False,False
1,2,True,True,True,True,True,True
2,3,True,True,True,False,True,True
3,4,True,True,True,True,False,True
4,5,True,True,True,False,False,True
5,6,True,True,True,True,True,False
6,7,True,True,True,False,False,True
7,8,True,True,True,False,False,False
8,9,True,True,True,False,False,False
9,10,True,True,True,True,False,False
10,11,True,True,True,False,False,False
11,12,True,True,True,True,True,True
