Probe,X_bool_sig,X_sig_level,Y_bool_sig,Y_sig_level,Z_bool_sig,Z_sig_level,X_int_bool,Y_int_bool,Z_int_bool
1,False,0.0,False,0.0,False,0.0,False,False,True
2,False,0.0,False,0.0,False,0.0,False,False,False
3,False,0.0,False,0.0,False,0.0,True,False,False
4,False,0.0,False,0.0,False,0.0,False,False,False
5,False,0.0,False,0.0,False,0.0,False,False,False
6,False,0.0,False,0.0,False,0.0,False,True,True
7,False,0.0,False,0.0,False,0.0,True,True,False
8,False,0.0,False,0.0,False,0.0,True,False,False
9,False,0.0,False,0.0,False,0.0,True,False,True
10,False,0.0,False,0.0,False,0.0,False,False,True
11,False,0.0,False,0.0,False,0.0,True,False,True
12,False,0.0,False,0.0,False,0.0,False,False,False
