Probe,X_bool_sig,X_sig_level,Y_bool_sig,Y_sig_level,Z_bool_sig,Z_sig_level,X_int_bool,Y_int_bool,Z_int_bool
1,True,2.82,False,0.0,True,2.55,False,True,False
2,True,2.2,False,0.0,False,0.0,False,False,True
3,False,0.0,True,2.73,True,10.96,True,False,False
4,False,0.0,False,0.0,False,0.0,True,True,True
5,False,0.0,False,0.0,False,0.0,True,False,False
6,False,0.0,True,2.03,False,0.0,False,False,False
7,True,3.16,True,2.93,False,0.0,True,True,False
8,True,2.51,True,3.31,False,0.0,True,False,False
9,False,0.0,True,2.24,False,0.0,True,False,False
10,True,5.46,False,0.0,True,2.87,True,False,False
11,False,0.0,True,2.03,False,0.0,True,False,False
12,False,0.0,False,0.0,False,0.0,True,True,True
