Probe,X_bool_sig,X_sig_level,Y_bool_sig,Y_sig_level,Z_bool_sig,Z_sig_level,X_int_bool,Y_int_bool,Z_int_bool
1,True,3.16,False,0.0,False,0.0,True,False,True
2,False,0.0,False,0.0,False,0.0,False,False,False
3,False,0.0,False,0.0,False,0.0,True,False,True
4,False,0.0,False,0.0,False,0.0,False,False,False
5,False,0.0,False,0.0,False,0.0,False,True,True
6,False,0.0,False,0.0,True,2.29,False,True,False
7,False,0.0,False,0.0,False,0.0,False,False,False
8,False,0.0,False,0.0,False,0.0,False,False,False
9,False,0.0,False,0.0,False,0.0,False,False,False
10,False,0.0,False,0.0,False,0.0,False,False,False
11,False,0.0,False,0.0,False,0.0,False,False,False
12,True,5.11,True,6.6,True,9.48,True,True,True
