Probe,X_bool_sig,X_sig_level,Y_bool_sig,Y_sig_level,Z_bool_sig,Z_sig_level,X_int_bool,Y_int_bool,Z_int_bool
1,True,inf,True,inf,True,inf,True,False,False
2,True,inf,True,inf,True,inf,True,True,True
3,True,inf,True,inf,True,inf,False,True,True
4,True,inf,True,inf,True,inf,True,False,True
5,True,inf,True,inf,True,inf,False,False,True
6,True,inf,True,inf,True,inf,True,True,False
7,True,inf,True,inf,True,inf,False,False,True
8,True,inf,True,inf,True,inf,False,False,False
9,True,inf,True,inf,True,inf,False,False,False
10,True,inf,True,inf,True,inf,True,False,False
11,True,inf,True,inf,True,inf,False,False,False
12,True,inf,True,inf,True,inf,True,True,True
