Probe,X_bool_sig,X_sig_level,Y_bool_sig,Y_sig_level,Z_bool_sig,Z_sig_level,X_int_bool,Y_int_bool,Z_int_bool
1,False,0.0,False,0.0,True,3.6,False,False,False
2,False,0.0,True,2.95,True,3.66,False,False,False
3,True,2.81,False,0.0,False,0.0,False,False,False
4,True,2.33,False,0.0,False,0.0,False,False,True
5,False,0.0,True,3.11,False,0.0,True,False,False
6,False,0.0,False,0.0,False,0.0,False,False,False
7,False,0.0,True,3.02,False,0.0,False,False,False
8,True,2.43,False,0.0,True,2.14,True,False,True
9,False,0.0,False,0.0,False,0.0,False,False,False
10,True,2.4,True,5.65,False,0.0,False,False,False
11,False,0.0,False,0.0,False,0.0,False,False,False
12,False,0.0,False,0.0,False,0.0,True,True,True
