Probe,X.slope_cur,Y.slope_cur,Z.slope_cur,X.slope_cur_err,Y.slope_cur_err,Z.slope_cur_err,X_zero_int,Y_zero_int,Z_zero_int,X_zero_int_err,Y_zero_int_err,Z_zero_int_err
1,0.3522549251106871,0.3985222532789148,0.009603973816003863,0.25472802081911494,0.2342697757092898,0.28536297138429034,-0.008784643937501224,0.03036409462714129,-0.030574195979025998,0.05624859185157166,0.051659241736604224,0.06324204109034035
2,0.5113195851236865,0.1695465336412484,-0.1898135614321388,0.2346224303748537,0.26356574039717023,0.3725205560859566,-0.05581859360717534,-0.04610015665374991,0.03653845251266152,0.05180638877017513,0.05839690733735454,0.08250860870052736
3,0.11660725057026933,-0.2007823385600927,0.34156347888832356,0.2678651413586924,0.25879975384854315,0.42816635635769296,-0.05821702884722235,-0.06086962099027172,-0.014851136600078387,0.05932597282898949,0.05744150469574365,0.09473594490602659
4,0.11206495458698162,-0.16876873052742972,0.16197379576772686,0.3112308405162712,0.2515895069415895,0.37166530847929613,-0.04871384953031832,-0.02967533913554115,-0.0029565369227220195,0.06887052751467324,0.05559575864429752,0.08226909195569126
5,0.1515112625309345,0.10501929267935746,0.06916131978707796,0.3299386860007312,0.24506315338212373,0.2947847022276433,0.0014519790975775493,-0.015693211726409178,0.00040956021124527453,0.07284345868563848,0.054206508515966034,0.06529257328475936
6,0.6242565688876727,0.10266424507612748,-0.2630993295005226,0.3416867614983164,0.24749849233859023,0.35142759647741906,-0.0015479745212427787,-0.01707995321939504,0.00019590272575487067,0.07552694260664478,0.054798781203587436,0.07774631627199753
7,0.3950710016453949,0.061981682767993124,0.11096732472318038,0.2484804588729175,0.2516057241277944,0.27543361860215654,-0.023490286248862402,-0.005953068260603923,0.018178682566378668,0.05487760093367096,0.05569900883886302,0.06093210361853852
8,0.04835849757437527,0.11431421201738623,0.12661509289066852,0.26325619522426663,0.3062862988626246,0.2672143200418624,0.020198054232871798,-0.01233848367418422,-0.02414801653674825,0.05818336880480846,0.06776517459157433,0.059209980969332485
9,0.2365580853406165,0.00832860639763311,0.013435844608575609,0.16210003596885839,0.1844664935946932,0.19095691284337651,-0.024491864431037014,-0.011150656410095605,-0.002381993253779413,0.03578386243241036,0.04086392982880118,0.04231905646471375
10,0.21485184220841563,0.22813803263138843,-0.3297536998201456,0.1618199749106856,0.18155098253909682,0.19309732039964733,-0.02677797280358868,-0.006347425740154344,-0.0034985106571758795,0.03573938769632853,0.04022539139217201,0.04278433639323833
11,0.24977833364492052,0.014475469109397898,0.017400500180453027,0.16127163571564784,0.17698822926668867,0.1931146457022355,-0.0260652117684943,-0.004487139208347202,0.002566500853014797,0.03563689251403065,0.03921343653037391,0.042782059156505105
12,0.6450284272488913,-2.660147894060306,10.9983207928184,6.988730238744662,4.8983484666880015,6.179461306763128,0.3656487052364099,-0.268203988483672,0.6130929778758556,1.5483152080296325,1.0842549036982767,1.3658893123742417
