Probe,X.slope_cur,Y.slope_cur,Z.slope_cur,X.slope_cur_err,Y.slope_cur_err,Z.slope_cur_err,X_zero_int,Y_zero_int,Z_zero_int,X_zero_int_err,Y_zero_int_err,Z_zero_int_err
1,-0.3272910616565241,0.8558433479343441,0.7551166722356575,2.771615613326848,2.536200151814549,3.1371859235435933,-0.056141657707825025,-0.019893010509060824,0.08596012312240012,0.1778036412271032,0.16288078326263228,0.2013226523161705
2,-1.78558114036903,3.2111917513568873,-1.7371141454405288,2.5612379088830095,2.885831991742969,4.074959863978052,-0.04615963052262251,-0.14648500467073108,-0.1260802837832116,0.16449436540125767,0.1853081008181909,0.26157787499051166
3,2.159157984497915,2.567832803719092,-0.7246798724626189,2.9279951638291997,2.8427245122675577,4.678648973076309,-0.1630183772638341,0.03737173868929961,-0.02461604908884788,0.18802705874875858,0.18260330473689718,0.3003540314336944
4,0.10873453770678711,3.9430584201022327,-2.707507383343326,3.4271144711536436,2.737823045129123,4.070355039270046,-0.17512314952205488,0.031067899287196662,-0.11447056658033909,0.22008180188224183,0.1756773717846528,0.26134781967699755
5,1.4963057512740385,1.2614630523276307,-2.185019009930974,3.5874613942984905,2.701515287647036,3.21315037668457,0.028583984093527224,-0.11968634961778414,-0.023522569607590783,0.23023224889208893,0.17359356145080274,0.20623027535531527
6,3.630696392212543,1.3400279013223333,-2.753021212546873,3.7298111008378867,2.7062138991483473,3.831245902669413,0.017585568459149395,0.05530226610778833,-0.044987111778789994,0.23942435603001863,0.17380633263550008,0.24592822885290663
7,-0.17175423499969658,0.47414155318677176,-0.471480592464248,2.7084972112299224,2.7340709568998056,3.0054398461063823,0.08115191741384234,-0.0583276706015211,0.12019490509475526,0.1738664176417836,0.1755033242262278,0.19275236651921024
8,0.29987575695851754,1.1472591717110758,1.9258031499939852,2.860489185882395,3.3453533840881926,2.9268351713235328,-0.05117624081559575,-0.1471146226469713,0.00026096372574287206,0.18366802231132984,0.2146421273671486,0.18794695052935423
9,0.8981026296371913,1.4684418705067406,-0.3606913329108159,1.7711991091542063,2.015548033611922,2.1034433337035106,-0.017952295240571053,0.014101617754489253,0.04914044432713994,0.11373586318756061,0.12939621846966723,0.13495608157430888
10,1.0214375015692505,1.3047122321423774,-0.5489865867482598,1.7689666185292865,1.9860544282074617,2.1214345499766827,-0.003560852767365736,0.03722023493358054,0.05542951541112695,0.11359090160167504,0.12750260471063052,0.13613719638727587
11,0.9167155646913805,1.12691654898771,-0.5350302573134585,1.766204153129987,1.9343619823189748,2.1217199122464443,-0.004757267288732579,0.030090530143487292,0.06168476310019232,0.11343935345265022,0.1241786924895818,0.13616471964521662
12,-80.14298560345588,20.453447409949067,-5.4000296482566625,76.17118743007192,53.4202294361703,67.4432540242384,1.4974571460331207,-1.4178851873359697,3.0278866363234815,4.891267983427338,3.4287045900095032,4.330409425281173
