Probe,X.slope_lin,Y.slope_lin,Z.slope_lin,X.slope_lin_err,Y.slope_lin_err,Z.slope_lin_err,X_zero_err,Y_zero_err,Z_zero_err
1,0.03328371842371978,0.06193919474133889,-0.024611633800168085,0.20512258416940501,0.3173788999475797,0.3469397971611996,-0.04419407331269288,-0.05842547097693007,0.05701814857607833
2,0.4116793401449862,0.24772137049799403,0.0031168864305348757,0.3003608153584755,0.33619352341325476,0.30116253474169585,-0.037335828288217784,-0.02387303447041039,0.052157027969415654
3,0.24746933662621898,0.05753755594054242,0.7172008999826027,0.4051273050955775,0.39321243418720775,0.41781393382751514,-0.023237763753975967,-0.007146838088997331,0.03394974577062572
4,0.12122499381290049,-0.229966193642603,-0.23616924812671672,0.40964394521685993,0.35362431895783253,0.3991548997186772,-0.04330496438362623,0.012290027757581628,0.06556165321805929
5,0.16905058800583714,-0.2960398488162593,-0.2772646887643556,0.3213530860292306,0.35722282435117275,0.2853963858540253,-0.007332644919222827,0.007951823529841157,0.13376788279005486
6,0.5752687930391002,0.23849368712488853,-0.2756482689033348,0.38364061436091107,0.35836872546920356,0.41701896467850036,-0.012099748238524017,0.006385739191050436,0.08619676249980443
7,-0.1779886306124892,-1.3085728109684363,0.23984891109648762,0.4536143163650706,0.5031532462128864,0.3908464661326652,-0.08893184069736296,0.04234341090206363,0.10405459536858319
8,0.4085601758719911,-0.30880783155508884,-0.5056433782005266,0.3751703420905456,0.26197555230265884,0.2220397459970382,-0.030845072734560226,-0.021565363512716366,0.032093449576537265
9,0.23474244243041564,0.10628219813911158,-0.09528444823544081,0.18851409251092766,0.17750276858689762,0.21131100411809403,-0.05127915826206013,0.0049324224832182385,0.03288446938193797
10,0.2918597561368519,0.1627953544812821,-0.12245065773380197,0.1807228382869161,0.1887063606104091,0.20682583873741292,-0.05584852919162044,-0.004386256231876591,0.03675096724798695
11,0.25003598329221266,0.06366151353248733,-0.07983111778923786,0.2092664243935081,0.18276948705157778,0.2046097675005939,-0.05419761166209151,0.001609351026149931,0.030691128849431152
12,-22.35230458265888,12.066064236534825,-23.33421503773967,11.853004814400567,4.724989028008169,9.568026570671979,0.2579074841479349,0.0731813506745875,-0.20909447861899794
