,Probe,X_bool_sig,Y_bool_sig,Z_bool_sig,X_int_bool,Y_int_bool,Z_int_bool
0,1,False,False,False,False,False,False
1,2,False,False,True,False,True,False
2,3,False,True,False,False,False,False
3,4,False,False,False,False,False,False
4,5,False,False,False,False,False,False
5,6,False,False,False,False,False,False
6,7,False,False,False,False,False,False
7,8,False,False,False,False,False,False
8,9,False,True,False,False,False,False
9,10,False,True,False,False,False,False
10,11,False,True,False,False,False,False
11,12,True,True,False,True,True,True
