Probe,X_bool_sig,X_sig_level,Y_bool_sig,Y_sig_level,Z_bool_sig,Z_sig_level,X_int_bool,Y_int_bool,Z_int_bool
1,False,0.0,False,0.0,False,0.0,False,True,False
2,False,0.0,False,0.0,False,0.0,False,False,False
3,False,0.0,True,2.4,True,1.73,False,False,False
4,False,0.0,False,0.0,False,0.0,True,True,False
5,False,0.0,False,0.0,False,0.0,True,False,False
6,False,0.0,True,1.93,False,0.0,False,False,False
7,True,2.06,True,3.91,False,0.0,False,False,False
8,False,0.0,True,1.72,False,0.0,True,False,False
9,False,0.0,True,2.07,False,0.0,True,True,False
10,True,1.57,False,0.0,True,1.55,True,True,False
11,False,0.0,True,2.05,False,0.0,True,True,False
12,False,0.0,False,0.0,True,1.87,True,True,True
