Probe,X_bool_sig,X_sig_level,Y_bool_sig,Y_sig_level,Z_bool_sig,Z_sig_level,X_int_bool,Y_int_bool,Z_int_bool
1,False,0.0,True,1.69,False,0.0,False,False,False
2,True,2.35,False,0.0,False,0.0,True,False,False
3,False,0.0,False,0.0,False,0.0,True,True,False
4,False,0.0,False,0.0,False,0.0,False,False,False
5,False,0.0,False,0.0,False,0.0,False,False,False
6,True,1.85,False,0.0,False,0.0,False,False,False
7,True,1.75,False,0.0,False,0.0,False,False,False
8,False,0.0,False,0.0,False,0.0,False,False,False
9,True,1.66,False,0.0,False,0.0,False,False,False
10,True,1.52,False,0.0,True,1.85,False,False,False
11,True,1.74,False,0.0,False,0.0,False,False,False
12,False,0.0,False,0.0,True,1.83,False,False,False
