Probe,X.slope_cur,Y.slope_cur,Z.slope_cur,X.slope_cur_err,Y.slope_cur_err,Z.slope_cur_err,X_zero_int,Y_zero_int,Z_zero_int,X_zero_int_err,Y_zero_int_err,Z_zero_int_err
1,0.25623363508447783,0.32255279297531486,0.011707371154382917,0.27650600083650895,0.25384557868835533,0.3129027833382586,0.10068784128297587,-0.07171434712694674,-0.1474508524109992,0.10994679724578924,0.10093635790338004,0.12441917521337947
2,-0.11310720179518385,0.6327601219725708,0.21728355925686993,0.2540191302626024,0.28803399547462877,0.41042519183673976,0.08132372709283126,0.06666175401168432,-0.11962137527840966,0.10100536580674097,0.1145306600395477,0.16319694721122183
3,-0.42348063625458526,0.2231313453361958,0.05596665824731669,0.29234127793514064,0.28277369555167325,0.47264035230652035,0.05361650423339508,-0.10108032207279337,-0.11375552376916845,0.11624336104203772,0.11243901284045661,0.18793549475457053
4,-0.27295349318668227,0.06551302991200561,-0.07559731543958059,0.3401676719733702,0.2741001024147557,0.4087194241143241,-0.05383324053524399,-0.005769102603881494,-0.18587978053950205,0.13526051993358743,0.10899014499494158,0.16251868624101692
5,-0.09677458501083303,0.40125857692363454,-0.31364994421572057,0.36040649923486956,0.26584196411192595,0.32262636484276197,0.057140871209175326,-0.014430901051547984,-0.004191555957426374,0.14330806207163904,0.10570646265379191,0.12828559730591976
6,-0.4616409709773077,0.6542695172228148,0.2261615328410479,0.37484417970642936,0.27011091384716823,0.38593841309000265,0.047992109287635136,-0.05221872406001256,-0.07383502811430467,0.14904890596428447,0.1074039271069426,0.1534602921926063
7,-0.814073850293564,-1.0678945603360173,-0.3048964060150929,0.27050039593083935,0.27444052432936156,0.3013821034407775,-0.09117947134524995,-0.0057382930775748305,-0.010301651312877906,0.1075587940975428,0.10912547912310602,0.11983825435590921
8,-0.17610160806650807,0.4861860092456454,-0.34507441815395534,0.2876878109908783,0.3364063740449359,0.29294304377884334,0.08547586850916926,-0.03540846448567727,-0.04263910348273248,0.11439300701256484,0.13376492024195483,0.11648264121438899
9,0.021802618266897666,-0.2766624725579354,-0.260718635042263,0.17542342919141676,0.2015765916662036,0.208547998895872,0.016602838849028467,0.060527189850542604,0.0030392108325342226,0.06975344297911792,0.08015269267133415,0.08292472116422976
10,0.009067328519406281,-0.2528329071292642,-0.2312758662757255,0.17516052305628874,0.19833740552070636,0.21084952725785824,0.011988403670381342,0.06752070848179603,-0.003272140470846008,0.06964891330895066,0.07886469855568659,0.08383988617844639
11,0.024755022002031578,-0.2523214142097909,-0.24429283140288138,0.17468086804889457,0.19318887087264774,0.21089478890868663,0.013033127643341882,0.06332362465370021,0.0076071085057226595,0.06945817648477862,0.07681749372726127,0.08385787503721798
12,2.9006138210769623,-2.5102627827104538,8.19351277164601,7.70381516316468,5.423914595015997,6.788437034278857,-0.9239298471462205,0.004222981680843008,0.5750203150417993,3.063260114412231,2.156699810873959,2.699279209475649
