Probe,X.slope_cur,Y.slope_cur,Z.slope_cur,X.slope_cur_err,Y.slope_cur_err,Z.slope_cur_err,X_zero_int,Y_zero_int,Z_zero_int,X_zero_int_err,Y_zero_int_err,Z_zero_int_err
1,-0.1888356992913054,-0.5705332159074445,-0.07684521560903468,0.4962739701529167,0.45560295805113604,0.5615989056142769,-0.04760335369428848,0.06446996249356214,0.010609255471076051,0.08690853807061846,0.07978614638182051,0.09834837233079245
2,-0.13440356753297078,-0.30896513891577704,-0.5223480334505025,0.4559144432743084,0.5169644431250587,0.7366326048016659,-0.01918150472587865,0.11813174294663921,0.037068499464253335,0.07984069400089153,0.09053190020034944,0.12900064962842558
3,0.06889845622836988,0.9004161293100201,-0.24921728640634075,0.5246951865807352,0.5075232361199136,0.8482965903386633,-0.021398315334397604,0.03604894895348318,0.061191990600662265,0.09188572128087019,0.08887853399645276,0.14855547990091097
4,0.3943327168123091,-0.06467020843943527,0.7781608898147968,0.6105341505881504,0.4919558442331766,0.733571081330692,0.04888920042838998,0.09080202807912585,0.011894167272585299,0.10691802341746755,0.0861523407094814,0.12846451916618673
5,-0.23294905550209144,-0.5534445270208678,0.06350473363914122,0.6468588689976263,0.47713410438907966,0.5790509749350926,0.018462072244213035,0.03416934911974965,0.0038388872636347937,0.11327928474526232,0.08355672897313532,0.10140461396214209
6,-0.17459125588075539,0.03197799619130248,-0.7083409513456311,0.6727716776169684,0.4847960246386528,0.6926836464762979,-0.013894153627311922,0.010360236386093291,0.0653516661663762,0.11781719220754225,0.08489849883620164,0.12130421440552334
7,-0.269175851101983,0.37828453169669174,-0.21727182696064778,0.4854950837162177,0.49256684003235973,0.5409216764164924,-0.02451711892165333,0.07492154896697145,-0.017437428830235264,0.08502091957340761,0.08625933868209072,0.09472733873685232
8,0.05115367891861989,-0.18254485738634266,0.330799051537192,0.5163430858428033,0.6037833694300285,0.5257752191873007,-0.04346512197865172,-0.01348228430451428,0.07596880056864141,0.09042308936825469,0.10573580944799414,0.09207486188201526
9,-0.0986356224291664,-0.4073785109564167,-0.15078950704112543,0.31485062617485127,0.36179038738189406,0.37430269305857755,-0.006365929293078992,0.018363041665087,0.01433398899120651,0.05513730252061444,0.06335749279297637,0.0655486727287648
10,0.3251905610222652,-1.163154129568943,-0.17059695668071018,0.31437878049922,0.3559766859033482,0.3784334827843176,0.002519362847628326,0.03406043707762992,0.018946728341769914,0.05505466944886181,0.0623393857308047,0.0662720653412786
11,-0.020257709663198713,-0.3112981639593356,-0.06824752179209614,0.3135178600380297,0.3467360829115414,0.37851472588458884,0.004998360501040462,0.02946074229470828,0.01895363907929526,0.05490390361791862,0.06072115078768315,0.06628629170630684
12,12.454853663567825,-9.552833498255445,9.542162338292576,13.826834998920381,9.734861424162741,12.183911170397598,-2.3751804386004376,0.9000193635538853,0.40898914029606415,2.4213843889085367,1.7047893869209005,2.1336720539585827
