Probe,X_bool_sig,X_sig_level,Y_bool_sig,Y_sig_level,Z_bool_sig,Z_sig_level,X_int_bool,Y_int_bool,Z_int_bool
1,False,0.0,False,0.0,False,0.0,False,False,False
2,False,0.0,False,0.0,True,2.46,False,False,False
3,False,0.0,False,0.0,True,2.7,False,False,False
4,False,0.0,False,0.0,False,0.0,False,False,False
5,True,3.32,False,0.0,False,0.0,False,False,False
6,False,0.0,True,3.34,True,3.05,False,False,False
7,True,2.67,True,6.49,False,0.0,False,False,False
8,False,0.0,False,0.0,False,0.0,False,False,False
9,False,0.0,False,0.0,False,0.0,False,False,False
10,True,2.21,True,5.0,True,2.26,False,False,False
11,False,0.0,False,0.0,False,0.0,False,False,False
12,False,0.0,False,0.0,False,0.0,True,True,True
