Probe,X.slope_cur,Y.slope_cur,Z.slope_cur,X.slope_cur_err,Y.slope_cur_err,Z.slope_cur_err,X_zero_int,Y_zero_int,Z_zero_int,X_zero_int_err,Y_zero_int_err,Z_zero_int_err
1,-0.11806902538154307,0.023961923507242355,-0.04605839533757705,0.7809116690222271,0.7169139367646163,0.8837037476108353,0.0007745114928146002,-0.029988960979733026,-0.003009535910552863,0.09310726123668842,0.08547685833187703,0.10536303967264662
2,0.1324179623162729,0.08370036035520256,-0.46079639407134265,0.7174039658723428,0.8134691207449004,1.1591278786972676,-0.045133748189006395,-0.009359673431519111,-0.09264703385333317,0.0855352972191504,0.09698904859265035,0.13820156284254156
3,0.4361963755004691,-0.19756839283109648,-0.09795297100263212,0.8256338362948361,0.7986129178119603,1.3348367621145867,0.051727536525091634,0.13159842965206486,-0.01937312782778755,0.09843942802508142,0.09521775602847059,0.15915112915732638
4,0.14263526834594997,-0.9208494006179295,-0.38264797290774955,0.9607057088291296,0.7741168806294674,1.154310432066804,0.03179623756155525,0.01602020750465316,-0.03384704260646673,0.11454390633374872,0.09229712246152906,0.1376271835505059
5,-0.11414447138088657,-0.36357518425683033,-0.2028633257827268,1.0178644234777652,0.7507941426811675,0.9111653535553189,-0.04811971136772941,0.07426750200654585,-0.08810741674408851,0.12135887616402363,0.08951637395145497,0.10863725995032578
6,-0.005270754194731664,0.21308342159049887,0.4197516051950512,1.058639117757416,0.762850574881154,1.0899720170616256,0.042289289835745536,-0.0038323244161659886,-0.06733118147930989,0.1262204514279134,0.09095384733320316,0.12995618464293304
7,-0.5429044941308526,-0.1502513784173229,-0.29723544364642773,0.7639505513846506,0.7750783009212573,0.8511670368066607,0.05974009583216002,0.04744031708258427,-0.017372637634181363,0.09108499831903373,0.09241174790560094,0.10148372628712253
8,-0.4650846947570792,-0.03874357530921446,-0.10079186965839382,0.8124914499676961,0.9500829987102741,0.8273333332847131,-0.023483421744925695,0.03865565338497101,0.04622567810450118,0.09687247672808398,0.11327737023723142,0.09864205946240152
9,0.07355540402228249,-0.1209068919804055,-0.47736407236679623,0.4954330483340221,0.5692950988911332,0.5889838331712723,0.02018602789375876,0.012810352747957054,0.0003976416863011867,0.05906994560913531,0.06787643769137469,0.07022392147601131
10,0.02376933294879787,-0.09366187968999218,-0.734452496736242,0.49469059633174856,0.5601469632431044,0.5954838253270693,0.025995444850715022,0.0161219803558591,0.02433219038875475,0.0589814227085921,0.06678571433117711,0.07099889203011914
11,0.04121131339097533,-0.20720288728834077,-0.5136571500350506,0.49333587966189035,0.5456063988295283,0.595611663085675,0.021844521198122514,0.0189113781581442,0.0016031744068222276,0.05881990268716695,0.06505205856475671,0.07101414553649815
12,-19.086626241272153,10.56185826614166,-7.165031868379788,21.757209851746612,15.318286364251188,19.171987541226496,1.2060951868671408,0.011096661749838924,-0.9529236671866903,2.59408855917678,1.8263823687595628,2.285855307242716
