Probe,X.slope_lin,Y.slope_lin,Z.slope_lin,X.slope_lin_err,Y.slope_lin_err,Z.slope_lin_err,X_zero_err,Y_zero_err,Z_zero_err
1,0.35823943474181114,0.3995915761530404,0.008850360659490132,0.19771425353938055,0.23674798917788636,0.171283091353135,-0.009669386504755297,0.030289885336334473,-0.03036003776857277
2,0.5150692916516297,0.17090367127477096,-0.188516026044461,0.24499889299140867,0.20453546732519143,0.23499767586380801,-0.057138934153683305,-0.04546205468280682,0.03674604268419944
3,0.1176080249790001,-0.20000683493909732,0.3412698417451338,0.18187729168031952,0.24166312796438202,0.14743426295247677,-0.058329270548238964,-0.06029123069302937,-0.014827390638361512
4,0.11431890658043789,-0.16567353351951153,0.16204349436193172,0.20349398726080675,0.15596311316624933,0.19518994168064566,-0.049332523917505595,-0.02961379737265095,-0.0028987092219985894
5,0.15515971967234182,0.1072600132904145,0.07004985940023753,0.1936075630868359,0.15344898614513372,0.23911504774801204,0.0011797038004693105,-0.015921010940872,0.0004967626634547638
6,0.6249271393736805,0.10350630897782125,-0.2636444789809951,0.22675358705792226,0.20359987626525014,0.19181890370890703,-0.0019094671831276049,-0.017401932335856712,0.00045876337412442984
7,0.40037410445410365,0.059765678547465964,0.11440780976420598,0.18830540776049012,0.18333425832298603,0.21152482129629988,-0.02438551176992146,-0.006354951526147426,0.018580583768404157
8,0.057084766657535535,0.1174911025845355,0.12602155950339108,0.28605867054212203,0.18850989877051447,0.1475867222139967,0.02031246456151485,-0.012714170499226638,-0.02430972126810298
9,0.24579774432914153,0.008592770391864424,0.013966979886965773,0.17114909737100578,0.13152884645575533,0.14811620920658244,-0.0255245183359625,-0.010867367420644336,-0.002340063786183873
10,0.22332161483247306,0.22854149572277235,-0.3293768545669506,0.1736123589629062,0.1289336530944512,0.14190109708622173,-0.027744687402194795,-0.00605914382523466,-0.0033392303319853952
11,0.2577119874112682,0.014851362712336884,0.017473650320384754,0.17352825607932326,0.13027630784568528,0.1405499690387904,-0.027060969804170647,-0.004260609973917961,0.0026877024557061474
12,0.6867718387433709,-2.674478593964797,10.980972076254794,5.6745442360365885,2.1820286489198826,3.1793678797601834,0.35841061729899243,-0.2674697704896022,0.6079966705341686
