Dir,Xdata,Ydata
X,0.12,8.5
X,0.36,3.6
X,0.59,2.5
X,0.83,1.72
X,1.07,1.05
X,1.3,1.08
X,1.54,0.98
X,1.78,0.74
X,2.01,0.51
X,2.26,0.54
X,2.49,0.51
X,2.72,0.44
X,2.97,0.29
X,3.21,0.27
X,3.43,0.34
X,3.64,0.33
X,3.9,0.27
X,4.14,0.21
X,4.34,0.25
X,4.61,0.23
X,4.84,0.23
X,7.97,0.79
X,15.96,0.28
X,23.83,0.37
X,31.96,0.29
X,40.02,0.15
X,47.72,0.04
X,55.81,0.02
X,59.76,0.02
Y,0.12,4.55
Y,0.35,1.89
Y,0.59,1.3
Y,0.82,0.77
Y,1.06,0.5
Y,1.3,0.62
Y,1.54,0.6
Y,1.78,0.42
Y,2.03,0.26
Y,2.26,0.31
Y,2.49,0.27
Y,2.72,0.18
Y,2.97,0.15
Y,3.08,0.12
Y,3.21,0.18
Y,3.43,0.15
Y,3.68,0.18
Y,3.9,0.18
Y,4.34,0.16
Y,4.65,0.17
Y,7.97,1.52
Y,9.98,0.14
Y,15.96,0.84
Y,19.79,0.04
Y,23.83,0.31
Y,29.84,0.03
Y,31.96,0.33
Y,40.02,0.07
Y,47.72,0.05
Y,55.81,0.03
Z,0.12,2.7
Z,0.36,1.12
Z,0.6,0.74
Z,0.83,0.51
Z,1.06,0.33
Z,1.3,0.32
Z,1.54,0.34
Z,1.78,0.25
Z,2.01,0.18
Z,2.26,0.18
Z,2.49,0.16
Z,3.02,0.1
Z,3.21,0.09
Z,3.47,0.11
Z,3.68,0.11
Z,7.97,0.35
Z,15.96,0.04
Z,19.79,0.03
Z,24.06,0.1
Z,29.84,0.02
Z,31.96,0.07
Z,39.63,0.06
Z,47.72,0.02
Z,55.81,0.01
Z,59.76,0.02
T,0.12,6.8
T,0.35,2.7
T,0.6,1.83
T,0.83,1.38
T,1.06,0.87
T,1.3,0.82
T,1.54,0.72
T,1.77,0.64
T,2.26,0.4
T,2.49,0.44
T,3.4,0.32
T,3.68,0.27
T,7.97,1.15
T,9.98,0.13
T,15.96,0.7
T,19.98,0.06
T,23.83,0.25
T,29.84,0.02
T,31.96,0.4
T,40.02,0.12
T,47.72,0.06
T,55.81,0.02
T,59.18,0.03
