Dir,Xdata,Ydata
X,0.119,14.0471
X,0.3554,4.7706
X,0.5958,3.1639
X,0.8324,2.0666
X,1.0661,1.4565
X,1.3075,1.2702
X,1.5488,1.2702
X,1.7874,0.9514
X,2.0273,0.6705
X,2.2696,0.7689
X,2.4971,0.7689
X,2.7355,0.5178
X,2.9708,0.3998
X,3.2123,0.5338
X,3.4434,0.5178
X,3.6911,0.3382
X,3.9225,0.304
X,4.1684,0.3998
X,4.4296,0.354
X,4.8737,0.2457
X,5.1121,0.2905
X,5.3622,0.2277
X,7.9955,0.966
X,16.0172,0.5022
X,23.9868,0.6406
X,31.9477,0.3938
X,40.0411,0.211
X,47.8439,0.1002
X,55.697,0.0427
X,59.7044,0.0216
Y,0.119,6.8725
Y,0.1248,1.4346
Y,0.2489,0.6705
Y,0.3569,2.4061
Y,0.5932,1.5957
Y,0.7467,0.2692
Y,0.8287,1.0111
Y,1.0661,0.7573
Y,1.3075,0.6505
Y,1.5488,0.6505
Y,1.7874,0.4447
Y,2.0273,0.3705
Y,2.2499,0.4059
Y,2.4971,0.4185
Y,2.7355,0.2994
Y,2.9708,0.211
Y,3.2123,0.2994
Y,3.4434,0.2861
Y,7.9609,1.9744
Y,9.9776,0.1956
Y,15.9478,1.5015
Y,19.9878,0.0835
Y,23.9868,0.5338
Y,29.9331,0.0301
Y,31.9477,0.4314
Y,39.8676,0.1033
Y,47.8439,0.1202
Y,55.9394,0.0402
Z,0.119,4.6277
Z,0.3554,1.3499
Z,0.5932,1.0423
Z,0.8287,0.6214
Z,1.0661,0.4655
Z,1.3018,0.4185
Z,1.5488,0.4059
Z,1.7874,0.2949
Z,2.0273,0.2277
Z,2.2597,0.2495
Z,2.4971,0.2572
Z,2.7236,0.1926
Z,2.9708,0.1487
Z,3.1984,0.1897
Z,3.4584,0.1785
Z,3.6752,0.1297
Z,3.9225,0.1131
Z,7.9609,0.4584
Z,15.9478,0.0616
Z,19.9012,0.0427
Z,23.8829,0.1785
Z,29.9331,0.0191
Z,31.9477,0.0972
Z,39.8676,0.0785
Z,47.8439,0.0454
Z,55.9394,0.0157
Z,49.9672,0.0055
Z,59.9642,0.0271
T,0.119,11.8829
T,0.1242,2.443
T,0.25,1.251
T,0.3569,3.6836
T,0.4358,0.7573
T,0.5932,2.636
T,0.7467,0.5759
T,0.8324,1.6702
T,1.0707,1.1419
T,0.9946,0.3998
T,1.3018,1.0266
T,1.5488,1.0111
T,1.7874,0.7927
T,2.0273,0.5257
T,2.2499,0.6214
T,2.4863,0.6028
T,2.7355,0.4121
T,2.9708,0.3434
T,3.2123,0.438
T,3.4584,0.4121
T,3.7072,0.2818
T,3.9225,0.2384
T,4.1684,0.3486
T,4.3913,0.2949
T,4.8737,0.2047
T,5.09,0.2277
T,7.9609,1.4789
T,9.9776,0.1421
T,15.9478,1.2135
T,19.9012,0.0606
T,23.9868,0.4314
T,31.9477,0.5338
T,40.0411,0.1732
T,48.0521,0.1379
T,55.9394,0.0553
T,59.7044,0.0454
