Dir,Xdata,Ydata
X,0.062,2.77
X,0.119,33.9409
X,0.1869,1.0111
X,0.3569,7.7618
X,0.5932,6.4668
X,0.8324,3.4139
X,1.0707,3.7401
X,1.3018,1.9153
X,1.5421,2.4804
X,1.7796,2.1962
X,2.0185,1.4129
X,2.2597,1.5245
X,2.4863,1.1077
X,2.7355,1.3706
X,2.9708,0.7927
X,3.2123,1.0423
X,3.4434,0.9808
X,3.6911,0.7235
X,3.9225,0.6808
X,4.1684,0.5848
X,4.3913,0.7346
X,4.6464,0.3998
X,4.8737,0.5587
X,5.09,0.5178
X,7.9955,2.0354
X,15.9478,1.0745
X,23.8829,1.0111
X,31.9477,0.6214
X,39.8676,0.304
X,47.8439,0.1317
X,55.697,0.0664
Y,0.062,8.16
Y,0.119,17.1184
Y,0.1248,3.7974
Y,0.1869,3.3623
Y,0.3569,4.0356
Y,0.5932,3.3116
Y,0.8287,1.7482
Y,1.0707,1.9153
Y,1.3132,1.0423
Y,1.5421,1.3295
Y,1.7796,1.0745
Y,2.0185,0.7235
Y,2.2597,0.7459
Y,2.4971,0.5502
Y,2.7355,0.7235
Y,7.9955,4.1603
Y,9.9776,0.3998
Y,16.0172,3.1639
Y,19.9878,0.1465
Y,23.9868,0.8424
Y,29.9331,0.0674
Y,31.9477,0.7126
Y,39.8676,0.151
Y,47.8439,0.1557
Y,55.9394,0.0654
Z,0.062,5.41
Z,0.119,10.3626
Z,0.1248,2.334
Z,0.1869,2.0666
Z,0.2489,0.8952
Z,0.312,0.7927
Z,0.3554,2.4061
Z,0.5958,2.0047
Z,0.8324,1.0745
Z,1.0661,1.1247
Z,1.3075,0.6028
Z,1.5421,0.8297
Z,1.7796,0.7018
Z,2.0185,0.4798
Z,2.2597,0.4798
Z,2.4971,0.3705
Z,2.7355,0.4726
Z,2.9708,0.2651
Z,3.2123,0.3649
Z,3.4434,0.3382
Z,7.9955,1.0111
Z,15.9478,0.1202
Z,23.8829,0.2651
Z,31.9477,0.1533
Z,40.2153,0.1149
Z,47.8439,0.0579
Z,55.697,0.0212
Z,59.7044,0.0461
T,0.062,16.55
T,0.1185,27.017
T,0.1242,6.8725
T,0.1869,6.5659
T,0.2489,2.8443
T,0.312,2.1304
T,0.3554,6.2731
T,0.5958,5.1476
T,0.8287,2.8014
T,1.0707,2.9771
T,7.9955,3.2616
T,9.9776,0.3134
T,15.8787,2.4804
T,23.8829,0.6808
T,31.9477,0.8553
T,39.8676,0.2611
T,47.8439,0.1758
T,55.9394,0.081
T,60.2251,0.0797
