Dir,Xdata,Ydata
X,0.1185,0.9229
X,0.3569,0.3281
X,0.5932,0.2079
X,0.8324,0.1258
X,1.0707,0.0914
X,1.3075,0.09
X,1.5555,0.0644
X,1.7952,0.0579
X,2.0185,0.0402
X,2.2597,0.0553
X,2.4863,0.0521
X,2.9708,0.032
X,3.2123,0.0325
X,3.4584,0.0362
X,3.6911,0.0263
X,3.9055,0.0288
X,4.1503,0.0306
X,7.9955,0.1655
X,9.9776,0.0197
X,15.9478,0.02
X,23.9868,0.031
X,31.8093,0.0283
X,39.8676,0.0185
X,47.8439,0.0057
X,60.2251,0.0263
Y,1.5488,0.0553
Y,2.4971,0.0441
Y,7.9955,0.1465
Y,9.9776,0.0233
Y,15.9478,0.14
Y,23.8829,0.0553
Y,31.9477,0.0529
Y,39.8676,0.0275
Y,47.8439,0.0182
Y,55.697,0.0081
Y,59.7044,0.0194
Z,7.9609,0.056
Z,15.8787,0.0213
Z,23.7794,0.051
Z,39.5228,0.0098
Z,59.1881,0.0098
T,7.9609,0.3742
T,15.8787,0.1564
T,23.4716,0.1182
T,31.6715,0.0696
T,39.5228,0.031
T,47.4302,0.022
T,55.4557,0.0081
