Dir,Xdata,Ydata
X,0.119,2.2641
X,0.3569,0.5099
X,0.5958,0.4249
X,0.8324,0.2176
X,1.0707,0.242
X,1.3018,0.1358
X,1.5421,0.1557
X,1.7796,0.14
X,2.0185,0.0835
X,2.2597,0.0986
X,2.4971,0.0739
X,2.7355,0.0835
X,2.9708,0.0579
X,3.1984,0.0625
X,3.4434,0.0635
X,3.6911,0.0553
X,3.9225,0.0537
X,7.9955,0.3486
X,9.9776,0.0367
X,16.0172,0.0373
X,23.9868,0.049
X,31.8093,0.0447
X,39.8676,0.0271
X,47.8439,0.0066
X,55.9394,0.005
X,59.7044,0.0521
Y,0.119,1.2897
Y,0.3569,0.3705
Y,0.5932,0.2572
Y,0.8324,0.14
Y,1.0707,0.1557
Y,1.3075,0.0957
Y,1.5421,0.1064
Y,1.7796,0.086
Y,2.4971,0.0562
Y,2.7355,0.0579
Y,7.9609,0.3231
Y,9.9776,0.0396
Y,15.8787,0.2905
Y,23.9868,0.0822
Y,19.9878,0.0212
Y,23.8829,0.0835
Y,29.9331,0.0127
Y,31.8093,0.0835
Y,39.8676,0.039
Y,47.8439,0.0267
Y,55.9394,0.0125
Y,59.9642,0.034
Z,2.7834,0.0367
Z,7.9955,0.1278
Z,15.9478,0.0408
Z,19.9878,0.0172
Z,23.8829,0.0797
Z,31.9477,0.0117
Z,39.6948,0.0164
Z,48.0521,0.005
Z,59.7044,0.0174
T,0.119,1.4346
T,0.8324,0.2079
T,1.5488,0.1097
T,7.9955,0.7807
T,15.9478,0.3281
T,23.9868,0.1813
T,31.9477,0.1097
T,39.8676,0.0427
T,47.8439,0.0301
T,55.9394,0.0114
T,59.9642,0.0068
