Dir,Xdata,Ydata
X,2.72,0.46
X,3.56,0.48
X,5.9,0.37
X,9.03,0.63
X,9.47,1.08
X,9.85,0.67
X,12.19,0.28
X,12.98,0.34
X,15.44,0.37
X,16.57,0.51
X,18.95,1.0
X,37.94,0.94
X,33.18,0.59
X,27.89,0.49
X,47.31,0.57
X,25.58,0.37
X,24.78,0.35
X,22.54,0.34
X,21.84,0.34
Y,2.74,0.47
Y,3.59,0.46
Y,5.85,0.4
Y,6.69,0.34
Y,9.03,0.67
Y,9.47,2.26
Y,9.93,0.63
Y,13.08,0.41
Y,14.04,0.46
Y,15.32,0.39
Y,16.57,0.63
Y,18.8,2.2
Y,21.67,0.37
Y,22.37,0.4
Y,28.34,0.78
Y,33.18,1.26
Y,37.64,2.07
Y,42.37,0.78
Y,46.94,1.2
Z,3.56,0.51
Z,8.96,0.6
Z,9.39,0.47
Z,9.85,0.55
Z,12.09,0.36
Z,12.98,0.34
Z,15.32,0.41
Z,16.57,0.53
Z,18.66,0.5
Z,22.54,0.35
Z,24.78,0.34
Z,27.89,0.51
Z,28.56,0.53
Z,31.15,0.3
Z,32.92,0.33
Z,37.64,0.53
Z,42.7,0.36
T,6.8,0.65
T,9.03,0.63
T,9.47,0.73
T,14.84,0.55
T,16.57,0.69
T,18.8,0.73
T,28.79,0.72
T,37.64,0.61
