Probe,var_X,var_Y,var_Z,var_X_err,var_Y_err,var_Z_err
1,0.0160207674580494,0.018955297615319198,0.0035696001566998675,0.2833292519501961,0.3446371650712093,0.2786881055246979
2,-0.004093611547167329,-0.0011486331508281371,0.005997932659369286,0.2402933706939977,0.24651470713588985,0.2725496252407092
3,-0.009515252434965519,-0.01096839965224802,0.008084667546153454,0.4182272577461222,0.23758565247335084,0.33620349941362765
4,-0.0032746895681591928,0.0009461742616019111,-0.009950314692490492,0.4743799317727376,0.2894185137944727,0.15022369502453958
5,-0.005433966804585114,0.013965630506669295,-0.012049541328545988,0.2599656163608317,0.28761962545745734,0.3447602426021893
6,-0.010272474302557696,-0.01098087252168953,0.017164591473586885,0.3594608620873921,0.31301986818406397,0.19999103673825974
7,0.008455997899976756,-0.028992431633155763,-0.005199515936524936,0.30864864381687807,0.36294111690470104,0.15061168830191807
8,-0.011763869977973983,0.006495758815385513,-0.001024264180412843,0.21150916784685092,0.18965677183921534,0.14935031819673927
9,-0.0015469424660938314,0.003714710715083291,-0.0005030845581184656,0.1976091879258788,0.15306713343981393,0.1568841970144657
10,0.0013733935513300889,0.01908167772480353,-0.027394340728668073,0.21497706924097182,0.18557385684812924,0.19186932936877954
11,-0.002139324211401511,0.0040525338733583775,-0.0016719183360189825,0.2126316995399152,0.14965765747755966,0.15614162457393452
mag,0.5028714633397797,0.5499810108806145,0.4670663352786022,0.0017932836805338364,0.0019065764247153665,0.0017099278872456157
current,0.02695356970339091,0.02695356970339091,0.02695356970339091,0.0020770620897451906,0.0020770620897451906,0.0020770620897451906
